name	treasure class # This is a custom .txt file, so should remain outside the versioned folders. These are mapped to the item code
stu	9
0b9	48
9ba	39
lbt	3
cst	12
bax	12
7di	72
nee	81
lsd	21
kri	18
8lb	36
uvb	66
gwn	27
7bw	75
pax	21
upk	69
lea	3
7o7	60
9bt	42
xml	39
7fc	69
spl	21
9ga	48
hax	3
7ba	66
am4	27
9vo	39
uhl	54
7st	84
7cr	75
7gi	87
7tr	66
ful	39
9wn	33
vou	12
9di	36
7qr	87
hgl	27
ba6	33
clw	18
7gd	87
spk	12
9cl	30
bac	66
8cs	39
nef	87
7b8	81
urn	87
wst	24
9fc	39
uea	69
amd	63
xpk	42
7ls	84
sml	6
2ax	15
flb	27
8ss	30
9tw	51
xhg	54
paa	57
7bt	75
tkf	3
7qs	78
ba2	9
baa	54
7h7	84
zmb	45
9sm	45
7cl	54
6lw	87
clb	3
ktr	3
scm	6
clm	18
9cr	39
xtb	51
9gi	51
ztb	51
6ws	87
ssd	3
uow	81
uvc	69
pa2	9
xlm	42
bal	18
xlt	54
9cs	42
9gm	54
xkp	39
mac	9
8s8	45
dr8	48
8ws	48
6l7	78
uml	63
uit	72
ulg	57
pa9	51
9bk	39
bsw	24
9s8	42
9b7	33
7wb	63
whm	27
ula	69
6sb	57
crs	12
wsp	21
7wa	87
7pa	81
pa6	36
7wh	84
dr6	36
uar	87
7ws	87
opm	18
sbr	9
xvg	39
9b8	42
utp	84
wsd	27
lst	9
ukp	63
uui	66
6bs	84
xvb	39
bhm	24
lbl	3
xow	51
utc	84
7cs	75
9fl	45
crn	30
jav	3
mbl	12
ba1	6
pik	24
ci2	72
bkf	15
xrs	48
9fb	51
6cb	69
pil	12
9ws	45
9bl	48
qui	3
ob7	39
upl	78
9ja	30
9xf	36
7gs	72
ob6	33
wrb	9
7gl	81
9pi	39
9pa	36
tsp	30
obe	84
vgl	9
buc	3
spr	6
dir	9
9wd	51
9s9	42
8lw	54
xh9	51
ltp	36
9h9	51
am8	45
scp	3
xlg	33
gpm	21
ob8	42
ucl	75
9ha	33
6hb	60
urs	75
ult	78
7bs	78
ba7	39
utu	72
tax	9
8rx	54
neg	69
uh9	84
dr1	6
ne2	9
pac	72
ulm	69
vbt	9
9ss	30
bld	24
