name	treasure class # This is a custom .txt file, so should remain outside the versioned folders. Some item names have different names for the same code, such as hbt -> greaves/plate boots, while some are typoed, such as Espadon
Wand	3
Throwing Knife	3
Short Sword	3
Short Staff	3
Short Bow	3
Scepter	3
Sash	3
Quilted Armor	3
Leather Gloves	3
Gloves	3
Leather Armor	3
Katar	3
Javelin	3
Hand Axe	3
Eagle Orb	3
Dagger	3
Club	3
Cap	3
Buckler	3
Boots	3
Leather Boots	3
Wolf Head	6
Targe	6
Spiked Club	6
Spear	6
Small Shield	6
Skull Cap	6
Scimitar	6
Preserved Head	6
Light Crossbow	6
Large Axe	6
Jawbone Cap	6
Hunter's Bow	6
Hunter\92s Bow	6
Hard Leather Armor	6
Hard Leather	6
Fulminating Potion	6
Bardiche	6
Zombie Head	9
Wrist Blade	9
Trident	9
Throwing Axe	9
Studded Leather	9
Strangling Gas Potion	9
Sacred Globe	9
Sabre	9
Saber	9
Rondache	9
Mace	9
Long Staff	9
Long Bow	9
Light Belt	9
Heavy Gloves	9
Heavy Boots	9
Hawk Helm	9
Fanged Helm	9
Dirk	9
Axe	9
Yew Wand	12
Voulge	12
Two-Handed Sword	12
2-Handed Sword	12
Spiked Shield	12
Smoked Sphere	12
Ring Mail	12
Pilum	12
Large Shield	12
Helm	12
Hatchet Hands	12
Gnarled Staff	12
Falchion	12
Crystal Sword	12
Composite Bow	12
Chain Gloves	12
Chain Boots	12
Broad Axe	12
Bracers	12
Belt	12
Short Spear	15
Scythe	15
Scale Mail	15
Morning Star	15
Kite Shield	15
Grand Scepter	15
Full Helm	15
Double Axe	15
Crossbow	15
Chain Mail	15
Cestus	15
Broad Sword	15
Balanced Knife	15
Unraveller Head	18
Stag Bow	18
Short Battle Bow	18
Maiden Spear	18
Kris	18
Horned Helm	18
Heraldic Shield	18
Exploding Potion	18
Claymore	18
Claws	18
Clasped Orb	18
Breast Plate	18
Brandistock	18
Bone Wand	18
Battle Staff	18
Battle Axe	18
Balanced Axe	18
Antlers	18
War Scepter	21
Splint Mail	21
Spetum	21
Poleaxe	21
Military Pick	21
Maul	21
Mask	21
Long Sword	21
Light Plated Boots	21
Light Plate Boots	21
Light Gauntlets	21
Heavy Belt	21
Giant Sword	21
Gargoyle Head	21
Flail	21
Falcon Mask	21
Choking Gas Potion	21
Bone Shield	21
Blade Talons	21
Assault Helmet	21
Aerin Shield	21
War Staff	24
Tower Shield	24
Spirit Mask	24
Scissors Katar	24
Plate Mail	24
Pike	24
Maiden Javelin	24
Long Battle Bow	24
Jared's Stone	24
Heavy Crossbow	24
Great Helm	24
Great Axe	24
Glaive	24
Demon Head	24
Crown Shield	24
Circlet	24
Bone Helm	24
Blade	24
Bastard Sword	24
Avenger Guard	24
War Sword	27
War Hammer	27
War Axe	27
Short War Bow	27
Reflex Bow	27
Plated Belt	27
Girdle	27
Maiden Pike	27
Grim Wand	27
Greaves	27
Plate Boots	27
Girdle	27
Giant Axe	27
Gauntlets	27
Flamberge	27
War Javelin	30
Throwing Spear	30
Quhab	30
Oil Potion	30
Jo Staff	30
Jo Stalf	30
Halberd	30
Gothic Shield	30
Gladius	30
Field Plate	30
Edge Bow	30
Cudgel	30
Crown	30
Wrist Spike	33
War Spear	33
Rune Scepter	33
Repeating Crossbow	33
Razor Bow	33
Rancid Gas Potion	33
Poignard	33
Mummified Trophy	33
Long War Bow	33
Lochaber Axe	33
Jawbone Visor	33
Hatchet	33
Great Sword	33
Great Maul	33
Gothic Plate	33
Glowing Orb	33
Demonhide Gloves	33
Burnt Wand	33
Battle Dart	33
Barbed Club	33
War Scythe	36
War Hat	36
Shamshir	36
Serpentskin Armor	36
Rondel	36
Quarterstaff	36
Partizan	36
Military Axe	36
Light Plate	36
Ghost Armor	36
Fuscina	36
Francisca	36
Flanged Mace	36
Fascia	36
Demonhide Sash	36
Demonhide Boots	36
Defender	36
Cleaver	36
Ceremonial Javelin	36
Cedar Bow	36
CedarBow	36
Arbalest	36
Alpha Helm	36
Akaran Targe	36
War Dart	39
Twin Axe	39
Tulwar	39
Sharkskin Gloves	39
Sharkskin Boots	39
Sharkskin Belt	39
Sallet	39
Round Shield	39
Petrified Wand	39
Lion Helm	39
Jagged Star	39
Great Pilum	39
Full Plate Mail	39
Fetish Trophy	39
Espandon	39
